#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.250312E-03   0.197735E+08   0.197733E+08   0.195034E+08   0.193695E+08   0.197540E+08   0.197734E+08   0.197735E+08   0.197783E+08  -0.472701E+00   0.104395E+08   0.104395E+08   0.113227E+03
   0.276392E-03   0.197705E+08   0.197702E+08   0.182374E+08   0.180824E+08   0.197463E+08   0.197703E+08   0.197704E+08   0.197749E+08  -0.472613E+00   0.104379E+08   0.104378E+08   0.122741E+03
   0.305189E-03   0.197668E+08   0.197664E+08   0.167980E+08   0.166208E+08   0.197368E+08   0.197666E+08   0.197667E+08   0.197708E+08  -0.472507E+00   0.104359E+08   0.104358E+08   0.132541E+03
   0.336986E-03   0.197624E+08   0.197619E+08   0.151876E+08   0.149879E+08   0.197254E+08   0.197621E+08   0.197623E+08   0.197659E+08  -0.472381E+00   0.104335E+08   0.104334E+08   0.142463E+03
   0.372096E-03   0.197570E+08   0.197565E+08   0.134220E+08   0.132011E+08   0.197115E+08   0.197567E+08   0.197569E+08   0.197601E+08  -0.472230E+00   0.104306E+08   0.104305E+08   0.152283E+03
   0.410865E-03   0.197506E+08   0.197500E+08   0.115346E+08   0.112958E+08   0.196947E+08   0.197502E+08   0.197505E+08   0.197531E+08  -0.472050E+00   0.104272E+08   0.104270E+08   0.161719E+03
   0.453672E-03   0.197428E+08   0.197421E+08   0.958056E+07   0.932970E+07   0.196745E+08   0.197424E+08   0.197427E+08   0.197448E+08  -0.471837E+00   0.104230E+08   0.104228E+08   0.170419E+03
   0.500940E-03   0.197336E+08   0.197328E+08   0.763849E+07   0.738444E+07   0.196500E+08   0.197331E+08   0.197335E+08   0.197350E+08  -0.471586E+00   0.104180E+08   0.104177E+08   0.177979E+03
   0.553133E-03   0.197226E+08   0.197216E+08   0.580756E+07   0.556208E+07   0.196205E+08   0.197220E+08   0.197224E+08   0.197234E+08  -0.471292E+00   0.104120E+08   0.104117E+08   0.183954E+03
   0.610763E-03   0.197095E+08   0.197083E+08   0.419689E+07   0.397388E+07   0.195852E+08   0.197087E+08   0.197093E+08   0.197098E+08  -0.470948E+00   0.104050E+08   0.104046E+08   0.187898E+03
   0.674398E-03   0.196939E+08   0.196926E+08   0.290534E+07   0.271892E+07   0.195427E+08   0.196930E+08   0.196937E+08   0.196938E+08  -0.470548E+00   0.103966E+08   0.103962E+08   0.189412E+03
   0.744663E-03   0.196756E+08   0.196741E+08   0.199251E+07   0.185397E+07   0.194920E+08   0.196745E+08   0.196754E+08   0.196750E+08  -0.470084E+00   0.103867E+08   0.103863E+08   0.188210E+03
   0.822248E-03   0.196540E+08   0.196524E+08   0.144860E+07   0.136278E+07   0.194315E+08   0.196528E+08   0.196538E+08   0.196532E+08  -0.469547E+00   0.103751E+08   0.103747E+08   0.184182E+03
   0.907918E-03   0.196288E+08   0.196270E+08   0.117987E+07   0.114220E+07   0.193597E+08   0.196273E+08   0.196285E+08   0.196276E+08  -0.468925E+00   0.103616E+08   0.103611E+08   0.177432E+03
   0.100251E-02   0.195994E+08   0.195975E+08   0.103099E+07   0.102740E+07   0.192746E+08   0.195976E+08   0.195991E+08   0.195979E+08  -0.468207E+00   0.103458E+08   0.103453E+08   0.168275E+03
   0.110696E-02   0.195652E+08   0.195631E+08   0.855055E+06   0.866190E+06   0.191744E+08   0.195631E+08   0.195648E+08   0.195633E+08  -0.467375E+00   0.103275E+08   0.103269E+08   0.157187E+03
   0.122230E-02   0.195255E+08   0.195234E+08   0.603273E+06   0.612270E+06   0.190566E+08   0.195230E+08   0.195252E+08   0.195232E+08  -0.466413E+00   0.103063E+08   0.103057E+08   0.144719E+03
   0.134965E-02   0.194796E+08   0.194774E+08   0.357311E+06   0.356395E+06   0.189194E+08   0.194767E+08   0.194793E+08   0.194768E+08  -0.465301E+00   0.102818E+08   0.102813E+08   0.131446E+03
   0.149027E-02   0.194267E+08   0.194245E+08   0.233380E+06   0.223958E+06   0.187609E+08   0.194234E+08   0.194264E+08   0.194234E+08  -0.464021E+00   0.102536E+08   0.102531E+08   0.117982E+03
   0.164554E-02   0.193659E+08   0.193636E+08   0.221742E+06  -0.172421E+06   0.185791E+08   0.193620E+08   0.193655E+08   0.193620E+08  -0.462551E+00   0.102212E+08   0.102207E+08   0.105018E+03
   0.181698E-02   0.192961E+08   0.192939E+08   0.186261E+06  -0.140901E+06   0.183723E+08   0.192916E+08   0.192958E+08   0.192916E+08  -0.460868E+00   0.101841E+08   0.101836E+08   0.932291E+02
   0.200629E-02   0.192164E+08   0.192141E+08   0.901938E+05  -0.115083E+06   0.181391E+08   0.192112E+08   0.192161E+08   0.192112E+08  -0.458945E+00   0.101417E+08   0.101412E+08   0.830554E+02
   0.221533E-02   0.191256E+08   0.191233E+08   0.524564E+05  -0.939421E+05   0.178787E+08   0.191196E+08   0.191252E+08   0.191196E+08  -0.456755E+00   0.100934E+08   0.100929E+08   0.745589E+02
   0.244614E-02   0.190225E+08   0.190200E+08   0.595972E+05  -0.766350E+05   0.175907E+08   0.190157E+08   0.190221E+08   0.190157E+08  -0.454271E+00   0.100386E+08   0.100381E+08   0.675064E+02
   0.270100E-02   0.189059E+08   0.189033E+08   0.241605E+05  -0.624707E+05   0.172749E+08   0.188981E+08   0.189055E+08   0.188981E+08  -0.451462E+00   0.997660E+07   0.997611E+07   0.614505E+02
   0.298242E-02   0.187745E+08   0.187717E+08   0.245779E+05  -0.508833E+05   0.169312E+08   0.187657E+08   0.187740E+08   0.187657E+08  -0.448298E+00   0.990682E+07   0.990632E+07   0.558543E+02
   0.329315E-02   0.186270E+08   0.186240E+08   0.104420E+05  -0.414081E+05   0.165592E+08   0.186172E+08   0.186265E+08   0.186172E+08  -0.444749E+00   0.982852E+07   0.982802E+07   0.504422E+02
   0.363626E-02   0.184621E+08   0.184589E+08   0.449206E+04  -0.336641E+05   0.161582E+08   0.184512E+08   0.184616E+08   0.184512E+08  -0.440783E+00   0.974104E+07   0.974055E+07   0.452978E+02
   0.401512E-02   0.182785E+08   0.182750E+08  -0.303425E+04  -0.273387E+05   0.157269E+08   0.182665E+08   0.182780E+08   0.182665E+08  -0.436369E+00   0.964367E+07   0.964318E+07   0.407146E+02
   0.443345E-02   0.180749E+08   0.180710E+08   0.224361E+03  -0.221755E+05   0.152639E+08   0.180616E+08   0.180743E+08   0.180616E+08  -0.431476E+00   0.953572E+07   0.953523E+07   0.367996E+02
   0.489537E-02   0.178499E+08   0.178456E+08  -0.205346E+04  -0.179640E+05   0.147701E+08   0.178354E+08   0.178493E+08   0.178354E+08  -0.426071E+00   0.941648E+07   0.941600E+07   0.333142E+02
   0.540541E-02   0.176023E+08   0.175975E+08  -0.267753E+04  -0.145316E+05   0.142452E+08   0.175864E+08   0.176016E+08   0.175864E+08  -0.420123E+00   0.928528E+07   0.928479E+07   0.300366E+02
   0.596860E-02   0.173307E+08   0.173253E+08  -0.189795E+04  -0.117366E+05   0.136887E+08   0.173134E+08   0.173298E+08   0.173134E+08  -0.413601E+00   0.914138E+07   0.914090E+07   0.270804E+02
   0.659046E-02   0.170341E+08   0.170280E+08  -0.238583E+04  -0.946334E+04   0.130695E+08   0.170153E+08   0.170331E+08   0.170153E+08  -0.406478E+00   0.898424E+07   0.898375E+07   0.245199E+02
   0.727712E-02   0.167103E+08   0.167033E+08  -0.207756E+04  -0.761574E+04   0.124363E+08   0.166899E+08   0.167092E+08   0.166899E+08  -0.398706E+00   0.881274E+07   0.881226E+07   0.221849E+02
   0.803531E-02   0.163580E+08   0.163500E+08  -0.203260E+04  -0.611602E+04   0.117764E+08   0.163361E+08   0.163568E+08   0.163361E+08  -0.390254E+00   0.862624E+07   0.862576E+07   0.200961E+02
   0.887251E-02   0.159765E+08   0.159672E+08  -0.238875E+04  -0.490045E+04   0.110989E+08   0.159531E+08   0.159751E+08   0.159531E+08  -0.381103E+00   0.842429E+07   0.842381E+07   0.182532E+02
   0.979693E-02   0.155644E+08   0.155536E+08  -0.122266E+04  -0.391661E+04   0.104047E+08   0.155394E+08   0.155627E+08   0.155394E+08  -0.371222E+00   0.820620E+07   0.820571E+07   0.165948E+02
   0.108177E-01   0.151202E+08   0.151077E+08  -0.160693E+04  -0.312155E+04   0.969332E+07   0.150938E+08   0.151183E+08   0.150938E+08  -0.360576E+00   0.797121E+07   0.797071E+07   0.151456E+02
   0.119447E-01   0.146428E+08   0.146283E+08  -0.134963E+04  -0.248013E+04   0.897045E+07   0.146149E+08   0.146405E+08   0.146149E+08  -0.349136E+00   0.771867E+07   0.771817E+07   0.138431E+02
   0.131893E-01   0.141310E+08   0.141142E+08  -0.969120E+03  -0.196368E+04   0.824384E+07   0.141018E+08   0.141284E+08   0.141018E+08  -0.336879E+00   0.744805E+07   0.744754E+07   0.127001E+02
   0.145634E-01   0.135840E+08   0.135645E+08  -0.960154E+03  -0.154873E+04   0.752009E+07   0.135536E+08   0.135809E+08   0.135536E+08  -0.323782E+00   0.715885E+07   0.715834E+07   0.116831E+02
   0.160808E-01   0.130012E+08   0.129787E+08  -0.875780E+03  -0.121615E+04   0.680169E+07   0.129697E+08   0.129976E+08   0.129697E+08  -0.309833E+00   0.685081E+07   0.685029E+07   0.107786E+02
   0.177562E-01   0.123826E+08   0.123569E+08  -0.533674E+03  -0.950333E+03   0.609807E+07   0.123503E+08   0.123786E+08   0.123503E+08  -0.295036E+00   0.652397E+07   0.652344E+07   0.996230E+01
   0.196062E-01   0.117295E+08   0.117001E+08  -0.508504E+03  -0.738587E+03   0.541481E+07   0.116964E+08   0.117248E+08   0.116964E+08  -0.279415E+00   0.617892E+07   0.617837E+07   0.921756E+01
   0.216490E-01   0.110441E+08   0.110111E+08  -0.356353E+03  -0.570579E+03   0.475898E+07   0.110106E+08   0.110389E+08   0.110106E+08  -0.263032E+00   0.581696E+07   0.581641E+07   0.852326E+01
   0.239046E-01   0.103311E+08   0.102943E+08  -0.296534E+03  -0.437917E+03   0.413738E+07   0.102975E+08   0.103253E+08   0.102975E+08  -0.245996E+00   0.544052E+07   0.543995E+07   0.785499E+01
   0.263952E-01   0.959768E+07   0.955736E+07  -0.234032E+03  -0.333784E+03   0.355690E+07   0.956415E+07   0.959135E+07   0.956415E+07  -0.228478E+00   0.505338E+07   0.505281E+07   0.719389E+01
   0.291453E-01   0.885425E+07   0.881095E+07  -0.148369E+03  -0.252641E+03   0.302323E+07   0.882120E+07   0.884745E+07   0.882120E+07  -0.210729E+00   0.466110E+07   0.466053E+07   0.651900E+01
   0.321819E-01   0.811494E+07   0.806961E+07  -0.159835E+03  -0.189971E+03   0.254161E+07   0.808273E+07   0.810782E+07   0.808273E+07  -0.193088E+00   0.427114E+07   0.427058E+07   0.581461E+01
   0.355349E-01   0.739721E+07   0.735123E+07  -0.950250E+02  -0.142076E+03   0.211587E+07   0.736622E+07   0.738999E+07   0.736622E+07  -0.175971E+00   0.389273E+07   0.389219E+07   0.507215E+01
   0.392372E-01   0.672060E+07   0.667576E+07  -0.698424E+02  -0.105905E+03   0.174794E+07   0.669118E+07   0.671356E+07   0.669118E+07  -0.159845E+00   0.353619E+07   0.353568E+07   0.429407E+01
   0.433253E-01   0.610391E+07   0.606225E+07  -0.774823E+02  -0.789192E+02   0.143728E+07   0.607636E+07   0.609737E+07   0.607636E+07  -0.145158E+00   0.321143E+07   0.321098E+07   0.349761E+01
   0.476579E-01   0.557858E+07   0.554187E+07  -0.584720E+02  -0.596316E+02   0.118900E+07   0.555305E+07   0.557281E+07   0.555305E+07  -0.132657E+00   0.293499E+07   0.293460E+07   0.274619E+01
   0.519904E-01   0.516473E+07   0.513380E+07  -0.455054E+02  -0.464076E+02   0.100167E+07   0.514113E+07   0.515987E+07   0.514113E+07  -0.122816E+00   0.271738E+07   0.271705E+07   0.211077E+01
   0.563229E-01   0.482822E+07   0.480305E+07  -0.362611E+02  -0.369798E+02   0.856132E+06   0.480638E+07   0.482427E+07   0.480638E+07  -0.114819E+00   0.254053E+07   0.254026E+07   0.160277E+01
   0.606555E-01   0.454295E+07   0.452283E+07  -0.294288E+02  -0.300120E+02   0.739635E+06   0.452266E+07   0.453979E+07   0.452266E+07  -0.108042E+00   0.239063E+07   0.239041E+07   0.122325E+01
   0.649880E-01   0.428933E+07   0.427306E+07  -0.242119E+02  -0.246916E+02   0.643666E+06   0.427035E+07   0.428677E+07   0.427035E+07  -0.102014E+00   0.225733E+07   0.225714E+07   0.962547E+00
   0.693205E-01   0.405116E+07   0.403732E+07  -0.201033E+02  -0.205015E+02   0.562285E+06   0.403327E+07   0.404899E+07   0.403327E+07  -0.963507E-01   0.213206E+07   0.213189E+07   0.802073E+00
   0.736531E-01   0.381644E+07   0.380363E+07  -0.167791E+02  -0.171114E+02   0.491496E+06   0.379945E+07   0.381443E+07   0.379945E+07  -0.907649E-01   0.200850E+07   0.200834E+07   0.717692E+00
   0.779856E-01   0.358144E+07   0.356854E+07  -0.140468E+02  -0.143249E+02   0.429214E+06   0.356522E+07   0.357942E+07   0.356522E+07  -0.851694E-01   0.188472E+07   0.188456E+07   0.683814E+00
   0.823181E-01   0.334920E+07   0.333545E+07  -0.117905E+02  -0.120239E+02   0.374526E+06   0.333364E+07   0.334704E+07   0.333364E+07  -0.796372E-01   0.176233E+07   0.176216E+07   0.676565E+00
   0.866507E-01   0.312607E+07   0.311117E+07  -0.993241E+01  -0.101290E+02   0.327006E+06   0.311113E+07   0.312373E+07   0.311113E+07  -0.743216E-01   0.164473E+07   0.164455E+07   0.676190E+00
   0.909832E-01   0.291828E+07   0.290233E+07  -0.841036E+01  -0.857679E+01   0.286231E+06   0.290392E+07   0.291577E+07   0.290392E+07  -0.693716E-01   0.153521E+07   0.153503E+07   0.668518E+00
   0.963719E-01   0.268843E+07   0.267180E+07  -0.690594E+01  -0.704258E+01   0.244133E+06   0.267481E+07   0.268582E+07   0.267481E+07  -0.638984E-01   0.141412E+07   0.141393E+07   0.637236E+00
   0.101761E+00   0.249606E+07   0.247973E+07  -0.575108E+01  -0.586485E+01   0.210520E+06   0.248320E+07   0.249349E+07   0.248320E+07  -0.593211E-01   0.131284E+07   0.131266E+07   0.579449E+00
   0.107149E+00   0.234267E+07   0.232758E+07  -0.486896E+01  -0.496527E+01   0.184047E+06   0.233058E+07   0.234030E+07   0.233058E+07  -0.556751E-01   0.123216E+07   0.123200E+07   0.502102E+00
   0.112538E+00   0.222295E+07   0.220978E+07  -0.418894E+01  -0.427180E+01   0.163116E+06   0.221161E+07   0.222088E+07   0.221161E+07  -0.528329E-01   0.116927E+07   0.116913E+07   0.417385E+00
   0.117927E+00   0.212621E+07   0.211518E+07  -0.364950E+01  -0.372168E+01   0.146083E+06   0.211556E+07   0.212448E+07   0.211556E+07  -0.505385E-01   0.111850E+07   0.111839E+07   0.338008E+00
   0.123316E+00   0.204061E+07   0.203152E+07  -0.320371E+01  -0.326707E+01   0.131570E+06   0.203059E+07   0.203918E+07   0.203059E+07  -0.485086E-01   0.107359E+07   0.107349E+07   0.273696E+00
   0.128704E+00   0.195671E+07   0.194902E+07  -0.282052E+01  -0.287630E+01   0.118640E+06   0.194722E+07   0.195550E+07   0.194722E+07  -0.465171E-01   0.102952E+07   0.102943E+07   0.229312E+00
   0.134093E+00   0.186910E+07   0.186213E+07  -0.248228E+01  -0.253136E+01   0.106776E+06   0.186007E+07   0.186800E+07   0.186007E+07  -0.444350E-01   0.983448E+06   0.983366E+06   0.204625E+00
   0.139482E+00   0.177658E+07   0.176970E+07  -0.218072E+01  -0.222384E+01   0.957940E+05   0.176793E+07   0.177550E+07   0.176793E+07  -0.422341E-01   0.934743E+06   0.934661E+06   0.195384E+00
   0.144871E+00   0.168117E+07   0.167393E+07  -0.191294E+01  -0.195076E+01   0.857052E+05   0.167285E+07   0.168004E+07   0.167285E+07  -0.399626E-01   0.884478E+06   0.884393E+06   0.195153E+00
   0.150259E+00   0.158666E+07   0.157890E+07  -0.167819E+01  -0.171137E+01   0.765971E+05   0.157864E+07   0.158545E+07   0.157864E+07  -0.377122E-01   0.834676E+06   0.834587E+06   0.197289E+00
   0.155648E+00   0.149771E+07   0.148951E+07  -0.147627E+01  -0.150546E+01   0.685729E+05   0.148999E+07   0.149642E+07   0.148999E+07  -0.355942E-01   0.787806E+06   0.787714E+06   0.196570E+00
   0.161037E+00   0.141877E+07   0.141040E+07  -0.130642E+01  -0.133224E+01   0.616973E+05   0.141134E+07   0.141745E+07   0.141134E+07  -0.337155E-01   0.746230E+06   0.746138E+06   0.190111E+00
   0.166425E+00   0.135242E+07   0.134425E+07  -0.116601E+01  -0.118905E+01   0.559376E+05   0.134530E+07   0.135113E+07   0.134530E+07  -0.321377E-01   0.711312E+06   0.711223E+06   0.177477E+00
   0.171814E+00   0.129824E+07   0.129060E+07  -0.105024E+01  -0.107100E+01   0.511403E+05   0.129142E+07   0.129704E+07   0.129142E+07  -0.308507E-01   0.682829E+06   0.682746E+06   0.160188E+00
   0.177203E+00   0.125348E+07   0.124658E+07  -0.953381E+00  -0.972224E+00   0.470855E+05   0.124697E+07   0.125240E+07   0.124697E+07  -0.297887E-01   0.659325E+06   0.659251E+06   0.140876E+00
   0.182592E+00   0.121470E+07   0.120860E+07  -0.870241E+00  -0.887440E+00   0.435622E+05   0.120847E+07   0.121374E+07   0.120847E+07  -0.288691E-01   0.638973E+06   0.638906E+06   0.122383E+00
   0.187980E+00   0.117858E+07   0.117318E+07  -0.796716E+00  -0.812462E+00   0.403963E+05   0.117261E+07   0.117773E+07   0.117261E+07  -0.280123E-01   0.620011E+06   0.619951E+06   0.106982E+00
   0.193369E+00   0.114220E+07   0.113732E+07  -0.729740E+00  -0.744163E+00   0.374552E+05   0.113646E+07   0.114143E+07   0.113646E+07  -0.271488E-01   0.600900E+06   0.600845E+06   0.958964E-01
   0.198758E+00   0.110366E+07   0.109905E+07  -0.667430E+00  -0.680620E+00   0.346587E+05   0.109812E+07   0.110294E+07   0.109812E+07  -0.262330E-01   0.580633E+06   0.580580E+06   0.891951E-01
   0.204147E+00   0.106269E+07   0.105813E+07  -0.609178E+00  -0.621217E+00   0.319878E+05   0.105733E+07   0.106197E+07   0.105733E+07  -0.252585E-01   0.559066E+06   0.559013E+06   0.860086E-01
   0.209535E+00   0.102043E+07   0.101577E+07  -0.555249E+00  -0.566221E+00   0.294679E+05   0.101524E+07   0.101970E+07   0.101524E+07  -0.242530E-01   0.536811E+06   0.536758E+06   0.849226E-01
   0.214924E+00   0.978671E+06   0.973859E+06  -0.506144E+00  -0.516146E+00   0.271368E+05   0.973630E+06   0.977915E+06   0.973630E+06  -0.232590E-01   0.514812E+06   0.514758E+06   0.844185E-01
   0.220313E+00   0.939157E+06   0.934226E+06  -0.462228E+00  -0.471362E+00   0.250253E+05   0.934265E+06   0.938382E+06   0.934265E+06  -0.223186E-01   0.494000E+06   0.493945E+06   0.832521E-01
   0.225702E+00   0.903288E+06   0.898337E+06  -0.423595E+00  -0.431965E+00   0.231494E+05   0.898547E+06   0.902511E+06   0.898547E+06  -0.214653E-01   0.475115E+06   0.475061E+06   0.806930E-01
   0.231090E+00   0.871819E+06   0.866974E+06  -0.389995E+00  -0.397701E+00   0.215056E+05   0.867228E+06   0.871058E+06   0.867228E+06  -0.207172E-01   0.458556E+06   0.458503E+06   0.765898E-01
   0.236479E+00   0.844676E+06   0.840052E+06  -0.360839E+00  -0.367969E+00   0.200705E+05   0.840236E+06   0.843950E+06   0.840236E+06  -0.200724E-01   0.444285E+06   0.444234E+06   0.712808E-01
   0.241868E+00   0.821093E+06   0.816767E+06  -0.335323E+00  -0.341949E+00   0.188069E+05   0.816800E+06   0.820413E+06   0.816800E+06  -0.195125E-01   0.431893E+06   0.431846E+06   0.654049E-01
   0.247256E+00   0.799908E+06   0.795903E+06  -0.312604E+00  -0.318780E+00   0.176733E+05   0.795756E+06   0.799279E+06   0.795756E+06  -0.190098E-01   0.420767E+06   0.420722E+06   0.596782E-01
   0.252645E+00   0.779834E+06   0.776120E+06  -0.291910E+00  -0.297678E+00   0.166309E+05   0.775813E+06   0.779250E+06   0.775813E+06  -0.185334E-01   0.410222E+06   0.410180E+06   0.546963E-01
   0.258034E+00   0.759738E+06   0.756247E+06  -0.272644E+00  -0.278031E+00   0.156487E+05   0.755838E+06   0.759190E+06   0.755838E+06  -0.180562E-01   0.399661E+06   0.399621E+06   0.508078E-01
   0.263423E+00   0.738972E+06   0.735621E+06  -0.254458E+00  -0.259486E+00   0.147096E+05   0.735184E+06   0.738446E+06   0.735184E+06  -0.175628E-01   0.388740E+06   0.388702E+06   0.480766E-01
   0.268811E+00   0.717504E+06   0.714213E+06  -0.237261E+00  -0.241949E+00   0.138102E+05   0.713818E+06   0.716987E+06   0.713818E+06  -0.170524E-01   0.377443E+06   0.377405E+06   0.463193E-01
