#    L    TT             EE             BB             TE          
    91   0.242681E+04   0.637809E+00   0.264905E-02  -0.172798E+02
    92   0.245607E+04   0.653346E+00   0.270796E-02  -0.179150E+02
    93   0.248556E+04   0.668854E+00   0.276756E-02  -0.185547E+02
    94   0.251527E+04   0.684320E+00   0.282785E-02  -0.191986E+02
    95   0.254520E+04   0.699729E+00   0.288884E-02  -0.198464E+02
    96   0.257535E+04   0.715068E+00   0.295053E-02  -0.204975E+02
    97   0.260573E+04   0.730322E+00   0.301293E-02  -0.211515E+02
    98   0.263633E+04   0.745475E+00   0.307603E-02  -0.218079E+02
    99   0.266715E+04   0.760514E+00   0.313984E-02  -0.224664E+02
   100   0.269819E+04   0.775427E+00   0.320437E-02  -0.231263E+02
   101   0.272944E+04   0.790199E+00   0.326961E-02  -0.237871E+02
   102   0.276091E+04   0.804808E+00   0.333558E-02  -0.244485E+02
   103   0.279259E+04   0.819255E+00   0.340228E-02  -0.251098E+02
   104   0.282446E+04   0.833510E+00   0.346970E-02  -0.257706E+02
   105   0.285653E+04   0.847567E+00   0.353786E-02  -0.264303E+02
   106   0.288879E+04   0.861410E+00   0.360675E-02  -0.270882E+02
   107   0.292123E+04   0.875032E+00   0.367639E-02  -0.277439E+02
   108   0.295383E+04   0.888411E+00   0.374677E-02  -0.283968E+02
   109   0.298661E+04   0.901540E+00   0.381790E-02  -0.290462E+02
   110   0.301955E+04   0.914398E+00   0.388979E-02  -0.296918E+02
   111   0.305264E+04   0.926976E+00   0.396244E-02  -0.303329E+02
   112   0.308588E+04   0.939268E+00   0.403584E-02  -0.309689E+02
   113   0.311927E+04   0.951251E+00   0.411002E-02  -0.315994E+02
   114   0.315279E+04   0.962910E+00   0.418496E-02  -0.322236E+02
   115   0.318643E+04   0.974245E+00   0.426068E-02  -0.328411E+02
   116   0.322021E+04   0.985241E+00   0.433719E-02  -0.334513E+02
   117   0.325410E+04   0.995875E+00   0.441448E-02  -0.340536E+02
   118   0.328810E+04   0.100615E+01   0.449256E-02  -0.346475E+02
   119   0.332220E+04   0.101604E+01   0.457143E-02  -0.352324E+02
   120   0.335639E+04   0.102556E+01   0.465111E-02  -0.358077E+02
   121   0.339067E+04   0.103467E+01   0.473159E-02  -0.363729E+02
   122   0.342501E+04   0.104337E+01   0.481289E-02  -0.369274E+02
   123   0.345943E+04   0.105167E+01   0.489500E-02  -0.374708E+02
   124   0.349391E+04   0.105953E+01   0.497793E-02  -0.380023E+02
   125   0.352844E+04   0.106696E+01   0.506170E-02  -0.385215E+02
   126   0.356301E+04   0.107395E+01   0.514630E-02  -0.390279E+02
   127   0.359761E+04   0.108050E+01   0.523174E-02  -0.395210E+02
   128   0.363223E+04   0.108658E+01   0.531803E-02  -0.400001E+02
   129   0.366688E+04   0.109221E+01   0.540517E-02  -0.404648E+02
   130   0.370153E+04   0.109736E+01   0.549317E-02  -0.409146E+02
   131   0.373616E+04   0.110204E+01   0.558204E-02  -0.413489E+02
   132   0.377080E+04   0.110624E+01   0.567178E-02  -0.417672E+02
   133   0.380542E+04   0.110996E+01   0.576240E-02  -0.421691E+02
   134   0.384001E+04   0.111320E+01   0.585391E-02  -0.425540E+02
   135   0.387456E+04   0.111594E+01   0.594631E-02  -0.429217E+02
   136   0.390908E+04   0.111820E+01   0.603961E-02  -0.432714E+02
   137   0.394355E+04   0.111996E+01   0.613382E-02  -0.436028E+02
   138   0.397796E+04   0.112124E+01   0.622894E-02  -0.439155E+02
   139   0.401230E+04   0.112202E+01   0.632498E-02  -0.442091E+02
   140   0.404657E+04   0.112230E+01   0.642195E-02  -0.444830E+02
   141   0.408077E+04   0.112211E+01   0.651986E-02  -0.447370E+02
   142   0.411487E+04   0.112142E+01   0.661870E-02  -0.449706E+02
   143   0.414888E+04   0.112025E+01   0.671849E-02  -0.451835E+02
   144   0.418277E+04   0.111860E+01   0.681924E-02  -0.453752E+02
   145   0.421656E+04   0.111646E+01   0.692094E-02  -0.455452E+02
   146   0.425021E+04   0.111386E+01   0.702361E-02  -0.456934E+02
   147   0.428371E+04   0.111079E+01   0.712726E-02  -0.458191E+02
   148   0.431704E+04   0.110725E+01   0.723188E-02  -0.459221E+02
   149   0.435021E+04   0.110327E+01   0.733749E-02  -0.460020E+02
   150   0.438318E+04   0.109883E+01   0.744408E-02  -0.460582E+02
   151   0.441594E+04   0.109396E+01   0.755167E-02  -0.460905E+02
   152   0.444850E+04   0.108865E+01   0.766026E-02  -0.460987E+02
   153   0.448084E+04   0.108293E+01   0.776985E-02  -0.460824E+02
   154   0.451296E+04   0.107681E+01   0.788045E-02  -0.460415E+02
   155   0.454485E+04   0.107028E+01   0.799206E-02  -0.459755E+02
   156   0.457652E+04   0.106337E+01   0.810469E-02  -0.458844E+02
   157   0.460795E+04   0.105609E+01   0.821834E-02  -0.457679E+02
   158   0.463914E+04   0.104845E+01   0.833300E-02  -0.456256E+02
   159   0.467007E+04   0.104047E+01   0.844869E-02  -0.454575E+02
   160   0.470075E+04   0.103215E+01   0.856541E-02  -0.452633E+02
   161   0.473115E+04   0.102352E+01   0.868316E-02  -0.450428E+02
   162   0.476125E+04   0.101460E+01   0.880193E-02  -0.447958E+02
   163   0.479106E+04   0.100541E+01   0.892174E-02  -0.445221E+02
   164   0.482054E+04   0.995945E+00   0.904257E-02  -0.442215E+02
   165   0.484971E+04   0.986237E+00   0.916444E-02  -0.438939E+02
   166   0.487854E+04   0.976306E+00   0.928733E-02  -0.435390E+02
   167   0.490702E+04   0.966173E+00   0.941126E-02  -0.431569E+02
   168   0.493515E+04   0.955861E+00   0.953621E-02  -0.427474E+02
   169   0.496292E+04   0.945392E+00   0.966218E-02  -0.423106E+02
   170   0.499032E+04   0.934781E+00   0.978918E-02  -0.418463E+02
   171   0.501734E+04   0.924057E+00   0.991720E-02  -0.413545E+02
   172   0.504398E+04   0.913243E+00   0.100462E-01  -0.408351E+02
   173   0.507022E+04   0.902361E+00   0.101763E-01  -0.402880E+02
   174   0.509606E+04   0.891434E+00   0.103074E-01  -0.397133E+02
   175   0.512148E+04   0.880497E+00   0.104394E-01  -0.391112E+02
   176   0.514649E+04   0.869567E+00   0.105725E-01  -0.384814E+02
   177   0.517106E+04   0.858680E+00   0.107066E-01  -0.378241E+02
   178   0.519519E+04   0.847859E+00   0.108416E-01  -0.371394E+02
   179   0.521888E+04   0.837125E+00   0.109776E-01  -0.364272E+02
   180   0.524212E+04   0.826516E+00   0.111147E-01  -0.356876E+02
   181   0.526489E+04   0.816062E+00   0.112526E-01  -0.349209E+02
   182   0.528719E+04   0.805792E+00   0.113916E-01  -0.341271E+02
   183   0.530903E+04   0.795729E+00   0.115315E-01  -0.333064E+02
   184   0.533037E+04   0.785909E+00   0.116724E-01  -0.324590E+02
