#    L    TT             EE             TE             PP             TP          
     2   0.101616E+04   0.308782E-01   0.262105E+01   0.104001E+07   0.278472E+05
     3   0.962787E+03   0.396855E-01   0.293979E+01   0.160137E+07   0.332183E+05
     4   0.911425E+03   0.344913E-01   0.275834E+01   0.209875E+07   0.356756E+05
     5   0.873145E+03   0.230873E-01   0.235030E+01   0.253765E+07   0.366036E+05
     6   0.847087E+03   0.129404E-01   0.189417E+01   0.292511E+07   0.367119E+05
     7   0.830607E+03   0.698428E-02   0.148892E+01   0.326879E+07   0.363891E+05
     8   0.820792E+03   0.447997E-02   0.117797E+01   0.357477E+07   0.357927E+05
     9   0.816289E+03   0.357615E-02   0.966776E+00   0.384842E+07   0.349987E+05
    10   0.815661E+03   0.304150E-02   0.847381E+00   0.409351E+07   0.340968E+05
    11   0.817528E+03   0.255606E-02   0.802419E+00   0.431461E+07   0.331936E+05
    12   0.822622E+03   0.223102E-02   0.812927E+00   0.451264E+07   0.323063E+05
    13   0.829046E+03   0.214019E-02   0.855294E+00   0.469226E+07   0.314968E+05
    14   0.836633E+03   0.222324E-02   0.908448E+00   0.485362E+07   0.306702E+05
    15   0.844337E+03   0.239883E-02   0.964858E+00   0.500015E+07   0.298448E+05
    16   0.853936E+03   0.264697E-02   0.102604E+01   0.513240E+07   0.289872E+05
    17   0.865280E+03   0.301024E-02   0.108948E+01   0.525180E+07   0.281292E+05
    18   0.877225E+03   0.353231E-02   0.115391E+01   0.536008E+07   0.273159E+05
    19   0.890529E+03   0.421681E-02   0.122252E+01   0.545790E+07   0.265490E+05
    20   0.903582E+03   0.504122E-02   0.129028E+01   0.554579E+07   0.258198E+05
    21   0.917080E+03   0.599909E-02   0.136177E+01   0.562485E+07   0.251213E+05
    22   0.931053E+03   0.710133E-02   0.143735E+01   0.569613E+07   0.244480E+05
    23   0.945114E+03   0.834013E-02   0.151434E+01   0.576017E+07   0.237992E+05
    24   0.959583E+03   0.971257E-02   0.158934E+01   0.581736E+07   0.231750E+05
    25   0.974595E+03   0.112233E-01   0.165457E+01   0.586830E+07   0.225755E+05
    26   0.989659E+03   0.128846E-01   0.171367E+01   0.591358E+07   0.219997E+05
    27   0.100518E+04   0.147073E-01   0.176746E+01   0.595369E+07   0.214430E+05
    28   0.102100E+04   0.166855E-01   0.181118E+01   0.598899E+07   0.209017E+05
    29   0.103702E+04   0.188454E-01   0.184986E+01   0.601955E+07   0.203798E+05
    30   0.105345E+04   0.212155E-01   0.187686E+01   0.604549E+07   0.198819E+05
    31   0.106968E+04   0.237922E-01   0.190297E+01   0.606733E+07   0.194065E+05
    32   0.108651E+04   0.265914E-01   0.192312E+01   0.608566E+07   0.189507E+05
    33   0.110342E+04   0.295729E-01   0.193580E+01   0.610068E+07   0.185120E+05
    34   0.112039E+04   0.327620E-01   0.194206E+01   0.611255E+07   0.180878E+05
