#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   502   0.246832E+04  -0.580921E+02   0.376691E-05  -0.580921E+02   0.789045E+01   0.833818E-06   0.376691E-05   0.833818E-06   0.191342E-07
   503   0.247595E+04  -0.570830E+02   0.372375E-05  -0.570830E+02   0.778479E+01   0.814297E-06   0.372375E-05   0.814297E-06   0.190795E-07
   504   0.248339E+04  -0.560532E+02   0.368232E-05  -0.560532E+02   0.768300E+01   0.794935E-06   0.368232E-05   0.794935E-06   0.190250E-07
   505   0.249065E+04  -0.550032E+02   0.364261E-05  -0.550032E+02   0.758498E+01   0.775729E-06   0.364261E-05   0.775729E-06   0.189707E-07
   506   0.249770E+04  -0.539337E+02   0.360459E-05  -0.539337E+02   0.749091E+01   0.756675E-06   0.360459E-05   0.756675E-06   0.189167E-07
   507   0.250456E+04  -0.528454E+02   0.356825E-05  -0.528454E+02   0.740086E+01   0.737771E-06   0.356825E-05   0.737771E-06   0.188629E-07
   508   0.251122E+04  -0.517391E+02   0.353356E-05  -0.517391E+02   0.731490E+01   0.719013E-06   0.353356E-05   0.719013E-06   0.188093E-07
   509   0.251767E+04  -0.506153E+02   0.350052E-05  -0.506153E+02   0.723311E+01   0.700397E-06   0.350052E-05   0.700397E-06   0.187559E-07
   510   0.252392E+04  -0.494749E+02   0.346910E-05  -0.494749E+02   0.715553E+01   0.681922E-06   0.346910E-05   0.681922E-06   0.187028E-07
   511   0.252997E+04  -0.483184E+02   0.343929E-05  -0.483184E+02   0.708225E+01   0.663584E-06   0.343929E-05   0.663584E-06   0.186498E-07
   512   0.253581E+04  -0.471466E+02   0.341106E-05  -0.471466E+02   0.701330E+01   0.645379E-06   0.341106E-05   0.645379E-06   0.185971E-07
   513   0.254143E+04  -0.459602E+02   0.338440E-05  -0.459602E+02   0.694877E+01   0.627305E-06   0.338440E-05   0.627305E-06   0.185446E-07
   514   0.254684E+04  -0.447599E+02   0.335930E-05  -0.447599E+02   0.688872E+01   0.609358E-06   0.335930E-05   0.609358E-06   0.184923E-07
   515   0.255204E+04  -0.435463E+02   0.333572E-05  -0.435463E+02   0.683320E+01   0.591535E-06   0.333572E-05   0.591535E-06   0.184402E-07
   516   0.255701E+04  -0.423203E+02   0.331366E-05  -0.423203E+02   0.678228E+01   0.573834E-06   0.331366E-05   0.573834E-06   0.183883E-07
   517   0.256177E+04  -0.410825E+02   0.329310E-05  -0.410825E+02   0.673600E+01   0.556250E-06   0.329310E-05   0.556250E-06   0.183367E-07
   518   0.256629E+04  -0.398336E+02   0.327402E-05  -0.398336E+02   0.669442E+01   0.538781E-06   0.327402E-05   0.538781E-06   0.182853E-07
   519   0.257060E+04  -0.385745E+02   0.325640E-05  -0.385745E+02   0.665760E+01   0.521423E-06   0.325640E-05   0.521423E-06   0.182340E-07
   520   0.257466E+04  -0.373058E+02   0.324023E-05  -0.373058E+02   0.662558E+01   0.504174E-06   0.324023E-05   0.504174E-06   0.181830E-07
   521   0.257849E+04  -0.360284E+02   0.322548E-05  -0.360284E+02   0.659842E+01   0.487030E-06   0.322548E-05   0.487030E-06   0.181322E-07
   522   0.258209E+04  -0.347428E+02   0.321214E-05  -0.347428E+02   0.657618E+01   0.469989E-06   0.321214E-05   0.469989E-06   0.180816E-07
   523   0.258544E+04  -0.334498E+02   0.320018E-05  -0.334498E+02   0.655888E+01   0.453046E-06   0.320018E-05   0.453046E-06   0.180312E-07
   524   0.258856E+04  -0.321504E+02   0.318960E-05  -0.321504E+02   0.654657E+01   0.436199E-06   0.318960E-05   0.436199E-06   0.179810E-07
   525   0.259144E+04  -0.308450E+02   0.318038E-05  -0.308450E+02   0.653928E+01   0.419445E-06   0.318038E-05   0.419445E-06   0.179310E-07
   526   0.259408E+04  -0.295345E+02   0.317249E-05  -0.295345E+02   0.653703E+01   0.402780E-06   0.317249E-05   0.402780E-06   0.178812E-07
   527   0.259649E+04  -0.282196E+02   0.316592E-05  -0.282196E+02   0.653988E+01   0.386202E-06   0.316592E-05   0.386202E-06   0.178317E-07
   528   0.259866E+04  -0.269012E+02   0.316065E-05  -0.269012E+02   0.654785E+01   0.369706E-06   0.316065E-05   0.369706E-06   0.177823E-07
   529   0.260059E+04  -0.255798E+02   0.315666E-05  -0.255798E+02   0.656096E+01   0.353291E-06   0.315666E-05   0.353291E-06   0.177331E-07
   530   0.260229E+04  -0.242563E+02   0.315393E-05  -0.242563E+02   0.657924E+01   0.336953E-06   0.315393E-05   0.336953E-06   0.176841E-07
   531   0.260374E+04  -0.229316E+02   0.315246E-05  -0.229316E+02   0.660273E+01   0.320689E-06   0.315246E-05   0.320689E-06   0.176354E-07
   532   0.260497E+04  -0.216064E+02   0.315221E-05  -0.216064E+02   0.663143E+01   0.304495E-06   0.315221E-05   0.304495E-06   0.175868E-07
   533   0.260596E+04  -0.202815E+02   0.315317E-05  -0.202815E+02   0.666537E+01   0.288369E-06   0.315317E-05   0.288369E-06   0.175384E-07
   534   0.260670E+04  -0.189577E+02   0.315532E-05  -0.189577E+02   0.670456E+01   0.272306E-06   0.315532E-05   0.272306E-06   0.174903E-07
   535   0.260721E+04  -0.176359E+02   0.315865E-05  -0.176359E+02   0.674905E+01   0.256305E-06   0.315865E-05   0.256305E-06   0.174423E-07
   536   0.260748E+04  -0.163168E+02   0.316314E-05  -0.163168E+02   0.679882E+01   0.240363E-06   0.316314E-05   0.240363E-06   0.173945E-07
   537   0.260751E+04  -0.150012E+02   0.316877E-05  -0.150012E+02   0.685390E+01   0.224474E-06   0.316877E-05   0.224474E-06   0.173469E-07
   538   0.260731E+04  -0.136898E+02   0.317551E-05  -0.136898E+02   0.691430E+01   0.208638E-06   0.317551E-05   0.208638E-06   0.172995E-07
   539   0.260688E+04  -0.123834E+02   0.318336E-05  -0.123834E+02   0.698000E+01   0.192850E-06   0.318336E-05   0.192850E-06   0.172523E-07
   540   0.260620E+04  -0.110828E+02   0.319230E-05  -0.110828E+02   0.705103E+01   0.177108E-06   0.319230E-05   0.177108E-06   0.172053E-07
   541   0.260530E+04  -0.978865E+01   0.320230E-05  -0.978865E+01   0.712738E+01   0.161408E-06   0.320230E-05   0.161408E-06   0.171585E-07
   542   0.260417E+04  -0.850178E+01   0.321335E-05  -0.850178E+01   0.720906E+01   0.145746E-06   0.321335E-05   0.145746E-06   0.171118E-07
   543   0.260280E+04  -0.722289E+01   0.322543E-05  -0.722289E+01   0.729607E+01   0.130121E-06   0.322543E-05   0.130121E-06   0.170654E-07
   544   0.260121E+04  -0.595270E+01   0.323853E-05  -0.595270E+01   0.738840E+01   0.114529E-06   0.323853E-05   0.114529E-06   0.170192E-07
   545   0.259939E+04  -0.469192E+01   0.325262E-05  -0.469192E+01   0.748602E+01   0.989661E-07   0.325262E-05   0.989661E-07   0.169731E-07
   546   0.259735E+04  -0.344122E+01   0.326769E-05  -0.344122E+01   0.758895E+01   0.834298E-07   0.326769E-05   0.834298E-07   0.169272E-07
   547   0.259508E+04  -0.220132E+01   0.328372E-05  -0.220132E+01   0.769715E+01   0.679169E-07   0.328372E-05   0.679169E-07   0.168815E-07
   548   0.259259E+04  -0.972893E+00   0.330069E-05  -0.972893E+00   0.781055E+01   0.524241E-07   0.330069E-05   0.524241E-07   0.168360E-07
   549   0.258988E+04   0.243350E+00   0.331858E-05   0.243350E+00   0.792929E+01   0.369484E-07   0.331858E-05   0.369484E-07   0.167907E-07
   550   0.258694E+04   0.144672E+01   0.333738E-05   0.144672E+01   0.805316E+01   0.214865E-07   0.333738E-05   0.214865E-07   0.167456E-07
   551   0.258379E+04   0.263650E+01   0.335707E-05   0.263650E+01   0.818231E+01   0.603625E-08   0.335707E-05   0.603625E-08   0.167006E-07
   552   0.258043E+04   0.381196E+01   0.337764E-05   0.381196E+01   0.831658E+01  -0.940106E-08   0.337764E-05  -0.940106E-08   0.166558E-07
   553   0.257685E+04   0.497240E+01   0.339908E-05   0.497240E+01   0.845597E+01  -0.248232E-07   0.339908E-05  -0.248232E-07   0.166112E-07
   554   0.257307E+04   0.611710E+01   0.342137E-05   0.611710E+01   0.860048E+01  -0.402281E-07   0.342137E-05  -0.402281E-07   0.165668E-07
   555   0.256909E+04   0.724533E+01   0.344451E-05   0.724533E+01   0.875005E+01  -0.556134E-07   0.344451E-05  -0.556134E-07   0.165226E-07
   556   0.256490E+04   0.835638E+01   0.346848E-05   0.835638E+01   0.890467E+01  -0.709769E-07   0.346848E-05  -0.709769E-07   0.164785E-07
   557   0.256052E+04   0.944960E+01   0.349329E-05   0.944960E+01   0.906426E+01  -0.863165E-07   0.349329E-05  -0.863165E-07   0.164346E-07
   558   0.255594E+04   0.105242E+02   0.351890E-05   0.105242E+02   0.922883E+01  -0.101630E-06   0.351890E-05  -0.101630E-06   0.163909E-07
   559   0.255117E+04   0.115798E+02   0.354533E-05   0.115798E+02   0.939830E+01  -0.116915E-06   0.354533E-05  -0.116915E-06   0.163474E-07
   560   0.254620E+04   0.126155E+02   0.357255E-05   0.126155E+02   0.957267E+01  -0.132170E-06   0.357255E-05  -0.132170E-06   0.163041E-07
   561   0.254106E+04   0.136309E+02   0.360056E-05   0.136309E+02   0.975180E+01  -0.147391E-06   0.360056E-05  -0.147391E-06   0.162609E-07
   562   0.253572E+04   0.146253E+02   0.362934E-05   0.146253E+02   0.993575E+01  -0.162578E-06   0.362934E-05  -0.162578E-06   0.162179E-07
   563   0.253021E+04   0.155981E+02   0.365889E-05   0.155981E+02   0.101244E+02  -0.177728E-06   0.365889E-05  -0.177728E-06   0.161751E-07
   564   0.252452E+04   0.165486E+02   0.368919E-05   0.165486E+02   0.103177E+02  -0.192838E-06   0.368919E-05  -0.192838E-06   0.161324E-07
   565   0.251865E+04   0.174764E+02   0.372024E-05   0.174764E+02   0.105156E+02  -0.207907E-06   0.372024E-05  -0.207907E-06   0.160899E-07
   566   0.251261E+04   0.183810E+02   0.375202E-05   0.183810E+02   0.107181E+02  -0.222932E-06   0.375202E-05  -0.222932E-06   0.160476E-07
   567   0.250640E+04   0.192616E+02   0.378453E-05   0.192616E+02   0.109250E+02  -0.237910E-06   0.378453E-05  -0.237910E-06   0.160055E-07
   568   0.250002E+04   0.201178E+02   0.381775E-05   0.201178E+02   0.111364E+02  -0.252841E-06   0.381775E-05  -0.252841E-06   0.159635E-07
   569   0.249348E+04   0.209492E+02   0.385167E-05   0.209492E+02   0.113521E+02  -0.267721E-06   0.385167E-05  -0.267721E-06   0.159217E-07
   570   0.248678E+04   0.217551E+02   0.388629E-05   0.217551E+02   0.115721E+02  -0.282549E-06   0.388629E-05  -0.282549E-06   0.158800E-07
   571   0.247992E+04   0.225350E+02   0.392159E-05   0.225350E+02   0.117963E+02  -0.297322E-06   0.392159E-05  -0.297322E-06   0.158386E-07
   572   0.247291E+04   0.232887E+02   0.395757E-05   0.232887E+02   0.120246E+02  -0.312038E-06   0.395757E-05  -0.312038E-06   0.157973E-07
   573   0.246575E+04   0.240154E+02   0.399420E-05   0.240154E+02   0.122570E+02  -0.326694E-06   0.399420E-05  -0.326694E-06   0.157561E-07
   574   0.245845E+04   0.247149E+02   0.403149E-05   0.247149E+02   0.124934E+02  -0.341290E-06   0.403149E-05  -0.341290E-06   0.157152E-07
   575   0.245102E+04   0.253869E+02   0.406943E-05   0.253869E+02   0.127336E+02  -0.355821E-06   0.406943E-05  -0.355821E-06   0.156743E-07
   576   0.244344E+04   0.260309E+02   0.410799E-05   0.260309E+02   0.129777E+02  -0.370287E-06   0.410799E-05  -0.370287E-06   0.156337E-07
   577   0.243575E+04   0.266464E+02   0.414718E-05   0.266464E+02   0.132255E+02  -0.384685E-06   0.414718E-05  -0.384685E-06   0.155932E-07
   578   0.242793E+04   0.272330E+02   0.418698E-05   0.272330E+02   0.134770E+02  -0.399012E-06   0.418698E-05  -0.399012E-06   0.155529E-07
   579   0.242000E+04   0.277905E+02   0.422738E-05   0.277905E+02   0.137321E+02  -0.413268E-06   0.422738E-05  -0.413268E-06   0.155127E-07
   580   0.241195E+04   0.283184E+02   0.426837E-05   0.283184E+02   0.139906E+02  -0.427448E-06   0.426837E-05  -0.427448E-06   0.154727E-07
   581   0.240380E+04   0.288163E+02   0.430994E-05   0.288163E+02   0.142526E+02  -0.441552E-06   0.430994E-05  -0.441552E-06   0.154329E-07
   582   0.239554E+04   0.292839E+02   0.435209E-05   0.292839E+02   0.145178E+02  -0.455576E-06   0.435209E-05  -0.455576E-06   0.153932E-07
   583   0.238718E+04   0.297207E+02   0.439479E-05   0.297207E+02   0.147862E+02  -0.469520E-06   0.439479E-05  -0.469520E-06   0.153537E-07
   584   0.237873E+04   0.301264E+02   0.443805E-05   0.301264E+02   0.150578E+02  -0.483379E-06   0.443805E-05  -0.483379E-06   0.153143E-07
   585   0.237019E+04   0.305007E+02   0.448184E-05   0.305007E+02   0.153323E+02  -0.497154E-06   0.448184E-05  -0.497154E-06   0.152751E-07
   586   0.236157E+04   0.308432E+02   0.452617E-05   0.308432E+02   0.156097E+02  -0.510840E-06   0.452617E-05  -0.510840E-06   0.152360E-07
   587   0.235286E+04   0.311538E+02   0.457101E-05   0.311538E+02   0.158900E+02  -0.524436E-06   0.457101E-05  -0.524436E-06   0.151971E-07
   588   0.234408E+04   0.314321E+02   0.461637E-05   0.314321E+02   0.161729E+02  -0.537940E-06   0.461637E-05  -0.537940E-06   0.151584E-07
   589   0.233522E+04   0.316780E+02   0.466222E-05   0.316780E+02   0.164585E+02  -0.551350E-06   0.466222E-05  -0.551350E-06   0.151198E-07
   590   0.232631E+04   0.318911E+02   0.470856E-05   0.318911E+02   0.167466E+02  -0.564663E-06   0.470856E-05  -0.564663E-06   0.150814E-07
   591   0.231733E+04   0.320713E+02   0.475539E-05   0.320713E+02   0.170370E+02  -0.577876E-06   0.475539E-05  -0.577876E-06   0.150431E-07
   592   0.230830E+04   0.322182E+02   0.480268E-05   0.322182E+02   0.173298E+02  -0.590989E-06   0.480268E-05  -0.590989E-06   0.150049E-07
   593   0.229921E+04   0.323317E+02   0.485043E-05   0.323317E+02   0.176247E+02  -0.603999E-06   0.485043E-05  -0.603999E-06   0.149669E-07
   594   0.229007E+04   0.324118E+02   0.489862E-05   0.324118E+02   0.179217E+02  -0.616903E-06   0.489862E-05  -0.616903E-06   0.149291E-07
   595   0.228089E+04   0.324582E+02   0.494726E-05   0.324582E+02   0.182206E+02  -0.629699E-06   0.494726E-05  -0.629699E-06   0.148914E-07
   596   0.227168E+04   0.324708E+02   0.499632E-05   0.324708E+02   0.185214E+02  -0.642386E-06   0.499632E-05  -0.642386E-06   0.148539E-07
   597   0.226243E+04   0.324494E+02   0.504580E-05   0.324494E+02   0.188239E+02  -0.654960E-06   0.504580E-05  -0.654960E-06   0.148165E-07
   598   0.225315E+04   0.323940E+02   0.509569E-05   0.323940E+02   0.191279E+02  -0.667420E-06   0.509569E-05  -0.667420E-06   0.147792E-07
   599   0.224385E+04   0.323043E+02   0.514597E-05   0.323043E+02   0.194335E+02  -0.679764E-06   0.514597E-05  -0.679764E-06   0.147421E-07
   600   0.223452E+04   0.321804E+02   0.519664E-05   0.321804E+02   0.197405E+02  -0.691989E-06   0.519664E-05  -0.691989E-06   0.147052E-07
   601   0.222519E+04   0.320222E+02   0.524769E-05   0.320222E+02   0.200487E+02  -0.704093E-06   0.524769E-05  -0.704093E-06   0.146684E-07
   602   0.221584E+04   0.318299E+02   0.529910E-05   0.318299E+02   0.203580E+02  -0.716075E-06   0.529910E-05  -0.716075E-06   0.146317E-07
   603   0.220649E+04   0.316033E+02   0.535087E-05   0.316033E+02   0.206684E+02  -0.727936E-06   0.535087E-05  -0.727936E-06   0.145952E-07
   604   0.219714E+04   0.313424E+02   0.540299E-05   0.313424E+02   0.209796E+02  -0.739673E-06   0.540299E-05  -0.739673E-06   0.145588E-07
   605   0.218778E+04   0.310473E+02   0.545543E-05   0.310473E+02   0.212916E+02  -0.751287E-06   0.545543E-05  -0.751287E-06   0.145225E-07
   606   0.217844E+04   0.307180E+02   0.550820E-05   0.307180E+02   0.216043E+02  -0.762777E-06   0.550820E-05  -0.762777E-06   0.144864E-07
   607   0.216911E+04   0.303545E+02   0.556128E-05   0.303545E+02   0.219175E+02  -0.774141E-06   0.556128E-05  -0.774141E-06   0.144505E-07
   608   0.215980E+04   0.299568E+02   0.561467E-05   0.299568E+02   0.222312E+02  -0.785381E-06   0.561467E-05  -0.785381E-06   0.144147E-07
   609   0.215052E+04   0.295253E+02   0.566834E-05   0.295253E+02   0.225451E+02  -0.796494E-06   0.566834E-05  -0.796494E-06   0.143790E-07
   610   0.214126E+04   0.290597E+02   0.572230E-05   0.290597E+02   0.228592E+02  -0.807480E-06   0.572230E-05  -0.807480E-06   0.143434E-07
   611   0.213204E+04   0.285604E+02   0.577653E-05   0.285604E+02   0.231732E+02  -0.818338E-06   0.577653E-05  -0.818338E-06   0.143080E-07
   612   0.212285E+04   0.280272E+02   0.583101E-05   0.280272E+02   0.234871E+02  -0.829069E-06   0.583101E-05  -0.829069E-06   0.142728E-07
   613   0.211370E+04   0.274603E+02   0.588574E-05   0.274603E+02   0.238008E+02  -0.839670E-06   0.588574E-05  -0.839670E-06   0.142376E-07
   614   0.210461E+04   0.268601E+02   0.594071E-05   0.268601E+02   0.241142E+02  -0.850142E-06   0.594071E-05  -0.850142E-06   0.142027E-07
   615   0.209555E+04   0.262266E+02   0.599591E-05   0.262266E+02   0.244270E+02  -0.860484E-06   0.599591E-05  -0.860484E-06   0.141678E-07
   616   0.208656E+04   0.255603E+02   0.605132E-05   0.255603E+02   0.247392E+02  -0.870695E-06   0.605132E-05  -0.870695E-06   0.141331E-07
   617   0.207763E+04   0.248613E+02   0.610694E-05   0.248613E+02   0.250508E+02  -0.880775E-06   0.610694E-05  -0.880775E-06   0.140985E-07
   618   0.206877E+04   0.241300E+02   0.616276E-05   0.241300E+02   0.253616E+02  -0.890722E-06   0.616276E-05  -0.890722E-06   0.140640E-07
   619   0.205998E+04   0.233667E+02   0.621875E-05   0.233667E+02   0.256713E+02  -0.900537E-06   0.621875E-05  -0.900537E-06   0.140297E-07
   620   0.205125E+04   0.225715E+02   0.627493E-05   0.225715E+02   0.259801E+02  -0.910218E-06   0.627493E-05  -0.910218E-06   0.139955E-07
   621   0.204262E+04   0.217447E+02   0.633126E-05   0.217447E+02   0.262878E+02  -0.919765E-06   0.633126E-05  -0.919765E-06   0.139615E-07
   622   0.203407E+04   0.208868E+02   0.638775E-05   0.208868E+02   0.265941E+02  -0.929177E-06   0.638775E-05  -0.929177E-06   0.139275E-07
   623   0.202560E+04   0.199979E+02   0.644437E-05   0.199979E+02   0.268991E+02  -0.938454E-06   0.644437E-05  -0.938454E-06   0.138938E-07
   624   0.201723E+04   0.190784E+02   0.650113E-05   0.190784E+02   0.272025E+02  -0.947595E-06   0.650113E-05  -0.947595E-06   0.138601E-07
   625   0.200896E+04   0.181285E+02   0.655801E-05   0.181285E+02   0.275042E+02  -0.956599E-06   0.655801E-05  -0.956599E-06   0.138266E-07
   626   0.200079E+04   0.171486E+02   0.661500E-05   0.171486E+02   0.278041E+02  -0.965465E-06   0.661500E-05  -0.965465E-06   0.137931E-07
   627   0.199271E+04   0.161389E+02   0.667209E-05   0.161389E+02   0.281021E+02  -0.974194E-06   0.667209E-05  -0.974194E-06   0.137599E-07
   628   0.198476E+04   0.150997E+02   0.672926E-05   0.150997E+02   0.283980E+02  -0.982783E-06   0.672926E-05  -0.982783E-06   0.137267E-07
   629   0.197691E+04   0.140317E+02   0.678651E-05   0.140317E+02   0.286917E+02  -0.991234E-06   0.678651E-05  -0.991234E-06   0.136937E-07
   630   0.196917E+04   0.129352E+02   0.684383E-05   0.129352E+02   0.289833E+02  -0.999544E-06   0.684383E-05  -0.999544E-06   0.136608E-07
   631   0.196156E+04   0.118105E+02   0.690120E-05   0.118105E+02   0.292723E+02  -0.100771E-05   0.690120E-05  -0.100771E-05   0.136280E-07
   632   0.195406E+04   0.106581E+02   0.695862E-05   0.106581E+02   0.295588E+02  -0.101574E-05   0.695862E-05  -0.101574E-05   0.135954E-07
   633   0.194670E+04   0.947845E+01   0.701608E-05   0.947845E+01   0.298427E+02  -0.102363E-05   0.701608E-05  -0.102363E-05   0.135629E-07
   634   0.193947E+04   0.827195E+01   0.707355E-05   0.827195E+01   0.301237E+02  -0.103137E-05   0.707355E-05  -0.103137E-05   0.135305E-07
   635   0.193237E+04   0.703913E+01   0.713105E-05   0.703913E+01   0.304019E+02  -0.103897E-05   0.713105E-05  -0.103897E-05   0.134982E-07
   636   0.192541E+04   0.578044E+01   0.718854E-05   0.578044E+01   0.306771E+02  -0.104643E-05   0.718854E-05  -0.104643E-05   0.134661E-07
   637   0.191859E+04   0.449641E+01   0.724602E-05   0.449641E+01   0.309493E+02  -0.105374E-05   0.724602E-05  -0.105374E-05   0.134340E-07
   638   0.191191E+04   0.318754E+01   0.730349E-05   0.318754E+01   0.312181E+02  -0.106090E-05   0.730349E-05  -0.106090E-05   0.134021E-07
   639   0.190538E+04   0.185433E+01   0.736093E-05   0.185433E+01   0.314838E+02  -0.106792E-05   0.736093E-05  -0.106792E-05   0.133703E-07
   640   0.189900E+04   0.497280E+00   0.741832E-05   0.497280E+00   0.317459E+02  -0.107480E-05   0.741832E-05  -0.107480E-05   0.133387E-07
   641   0.189278E+04  -0.883086E+00   0.747567E-05  -0.883086E+00   0.320045E+02  -0.108152E-05   0.747567E-05  -0.108152E-05   0.133071E-07
   642   0.188670E+04  -0.228619E+01   0.753295E-05  -0.228619E+01   0.322594E+02  -0.108810E-05   0.753295E-05  -0.108810E-05   0.132757E-07
   643   0.188080E+04  -0.371144E+01   0.759016E-05  -0.371144E+01   0.325106E+02  -0.109453E-05   0.759016E-05  -0.109453E-05   0.132444E-07
   644   0.187504E+04  -0.515823E+01   0.764729E-05  -0.515823E+01   0.327580E+02  -0.110081E-05   0.764729E-05  -0.110081E-05   0.132132E-07
   645   0.186946E+04  -0.662598E+01   0.770433E-05  -0.662598E+01   0.330013E+02  -0.110694E-05   0.770433E-05  -0.110694E-05   0.131821E-07
   646   0.186404E+04  -0.811411E+01   0.776125E-05  -0.811411E+01   0.332404E+02  -0.111292E-05   0.776125E-05  -0.111292E-05   0.131512E-07
   647   0.185879E+04  -0.962194E+01   0.781807E-05  -0.962194E+01   0.334754E+02  -0.111875E-05   0.781807E-05  -0.111875E-05   0.131203E-07
   648   0.185371E+04  -0.111490E+02   0.787476E-05  -0.111490E+02   0.337060E+02  -0.112442E-05   0.787476E-05  -0.112442E-05   0.130896E-07
   649   0.184880E+04  -0.126945E+02   0.793131E-05  -0.126945E+02   0.339321E+02  -0.112995E-05   0.793131E-05  -0.112995E-05   0.130590E-07
   650   0.184408E+04  -0.142579E+02   0.798772E-05  -0.142579E+02   0.341538E+02  -0.113532E-05   0.798772E-05  -0.113532E-05   0.130285E-07
   651   0.183953E+04  -0.158385E+02   0.804396E-05  -0.158385E+02   0.343709E+02  -0.114053E-05   0.804396E-05  -0.114053E-05   0.129981E-07
   652   0.183515E+04  -0.174355E+02   0.810005E-05  -0.174355E+02   0.345835E+02  -0.114560E-05   0.810005E-05  -0.114560E-05   0.129679E-07
   653   0.183096E+04  -0.190485E+02   0.815595E-05  -0.190485E+02   0.347913E+02  -0.115051E-05   0.815595E-05  -0.115051E-05   0.129377E-07
   654   0.182696E+04  -0.206767E+02   0.821168E-05  -0.206767E+02   0.349944E+02  -0.115526E-05   0.821168E-05  -0.115526E-05   0.129077E-07
   655   0.182315E+04  -0.223195E+02   0.826721E-05  -0.223195E+02   0.351926E+02  -0.115987E-05   0.826721E-05  -0.115987E-05   0.128777E-07
   656   0.181952E+04  -0.239760E+02   0.832254E-05  -0.239760E+02   0.353860E+02  -0.116432E-05   0.832254E-05  -0.116432E-05   0.128479E-07
   657   0.181608E+04  -0.256457E+02   0.837766E-05  -0.256457E+02   0.355744E+02  -0.116862E-05   0.837766E-05  -0.116862E-05   0.128182E-07
   658   0.181283E+04  -0.273278E+02   0.843257E-05  -0.273278E+02   0.357578E+02  -0.117277E-05   0.843257E-05  -0.117277E-05   0.127886E-07
   659   0.180978E+04  -0.290216E+02   0.848725E-05  -0.290216E+02   0.359359E+02  -0.117677E-05   0.848725E-05  -0.117677E-05   0.127591E-07
   660   0.180692E+04  -0.307264E+02   0.854170E-05  -0.307264E+02   0.361089E+02  -0.118062E-05   0.854170E-05  -0.118062E-05   0.127297E-07
   661   0.180426E+04  -0.324414E+02   0.859591E-05  -0.324414E+02   0.362765E+02  -0.118432E-05   0.859591E-05  -0.118432E-05   0.127005E-07
   662   0.180179E+04  -0.341661E+02   0.864987E-05  -0.341661E+02   0.364387E+02  -0.118787E-05   0.864987E-05  -0.118787E-05   0.126713E-07
   663   0.179952E+04  -0.358995E+02   0.870356E-05  -0.358995E+02   0.365955E+02  -0.119127E-05   0.870356E-05  -0.119127E-05   0.126422E-07
   664   0.179745E+04  -0.376409E+02   0.875700E-05  -0.376409E+02   0.367467E+02  -0.119453E-05   0.875700E-05  -0.119453E-05   0.126133E-07
   665   0.179557E+04  -0.393897E+02   0.881015E-05  -0.393897E+02   0.368923E+02  -0.119763E-05   0.881015E-05  -0.119763E-05   0.125844E-07
   666   0.179390E+04  -0.411451E+02   0.886302E-05  -0.411451E+02   0.370323E+02  -0.120059E-05   0.886302E-05  -0.120059E-05   0.125557E-07
   667   0.179242E+04  -0.429063E+02   0.891560E-05  -0.429063E+02   0.371667E+02  -0.120340E-05   0.891560E-05  -0.120340E-05   0.125271E-07
   668   0.179115E+04  -0.446726E+02   0.896788E-05  -0.446726E+02   0.372952E+02  -0.120606E-05   0.896788E-05  -0.120606E-05   0.124985E-07
   669   0.179007E+04  -0.464432E+02   0.901985E-05  -0.464432E+02   0.374179E+02  -0.120858E-05   0.901985E-05  -0.120858E-05   0.124701E-07
   670   0.178921E+04  -0.482174E+02   0.907150E-05  -0.482174E+02   0.375348E+02  -0.121095E-05   0.907150E-05  -0.121095E-05   0.124418E-07
   671   0.178854E+04  -0.499944E+02   0.912283E-05  -0.499944E+02   0.376458E+02  -0.121318E-05   0.912283E-05  -0.121318E-05   0.124136E-07
   672   0.178807E+04  -0.517736E+02   0.917382E-05  -0.517736E+02   0.377509E+02  -0.121526E-05   0.917382E-05  -0.121526E-05   0.123855E-07
   673   0.178780E+04  -0.535541E+02   0.922447E-05  -0.535541E+02   0.378499E+02  -0.121719E-05   0.922447E-05  -0.121719E-05   0.123575E-07
   674   0.178774E+04  -0.553352E+02   0.927477E-05  -0.553352E+02   0.379430E+02  -0.121898E-05   0.927477E-05  -0.121898E-05   0.123296E-07
   675   0.178788E+04  -0.571161E+02   0.932471E-05  -0.571161E+02   0.380300E+02  -0.122063E-05   0.932471E-05  -0.122063E-05   0.123018E-07
   676   0.178822E+04  -0.588960E+02   0.937428E-05  -0.588960E+02   0.381108E+02  -0.122213E-05   0.937428E-05  -0.122213E-05   0.122741E-07
   677   0.178877E+04  -0.606743E+02   0.942347E-05  -0.606743E+02   0.381856E+02  -0.122350E-05   0.942347E-05  -0.122350E-05   0.122464E-07
   678   0.178950E+04  -0.624500E+02   0.947228E-05  -0.624500E+02   0.382542E+02  -0.122471E-05   0.947228E-05  -0.122471E-05   0.122189E-07
   679   0.179045E+04  -0.642223E+02   0.952070E-05  -0.642223E+02   0.383165E+02  -0.122579E-05   0.952070E-05  -0.122579E-05   0.121915E-07
   680   0.179159E+04  -0.659906E+02   0.956871E-05  -0.659906E+02   0.383726E+02  -0.122672E-05   0.956871E-05  -0.122672E-05   0.121642E-07
   681   0.179293E+04  -0.677538E+02   0.961632E-05  -0.677538E+02   0.384222E+02  -0.122751E-05   0.961632E-05  -0.122751E-05   0.121370E-07
