#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.128344E+04   0.151987E+01   0.899479E-03   0.151987E+01   0.723331E-01  -0.213836E-06   0.899479E-03  -0.213836E-06   0.137024E-06
    44   0.130234E+04   0.141974E+01   0.880554E-03   0.141974E+01   0.780123E-01  -0.309875E-06   0.880554E-03  -0.309875E-06   0.136651E-06
    45   0.132148E+04   0.130817E+01   0.862199E-03   0.130817E+01   0.839829E-01  -0.379005E-06   0.862199E-03  -0.379005E-06   0.136252E-06
    46   0.134082E+04   0.118481E+01   0.844419E-03   0.118481E+01   0.902522E-01  -0.394532E-06   0.844419E-03  -0.394532E-06   0.135828E-06
    47   0.136034E+04   0.104911E+01   0.827193E-03   0.104911E+01   0.968205E-01  -0.373586E-06   0.827193E-03  -0.373586E-06   0.135381E-06
    48   0.138001E+04   0.900464E+00   0.810493E-03   0.900464E+00   0.103679E+00  -0.344254E-06   0.810493E-03  -0.344254E-06   0.134913E-06
    49   0.139983E+04   0.738323E+00   0.794295E-03   0.738323E+00   0.110820E+00  -0.334621E-06   0.794295E-03  -0.334621E-06   0.134425E-06
    50   0.141984E+04   0.562290E+00   0.778569E-03   0.562290E+00   0.118244E+00  -0.372774E-06   0.778569E-03  -0.372774E-06   0.133920E-06
    51   0.144011E+04   0.372274E+00   0.763299E-03   0.372274E+00   0.125956E+00  -0.476375E-06   0.763299E-03  -0.476375E-06   0.133398E-06
    52   0.146058E+04   0.169226E+00   0.748495E-03   0.169226E+00   0.133960E+00  -0.621398E-06   0.748495E-03  -0.621398E-06   0.132860E-06
    53   0.148119E+04  -0.458526E-01   0.734179E-03  -0.458526E-01   0.142257E+00  -0.773393E-06   0.734179E-03  -0.773393E-06   0.132309E-06
    54   0.150191E+04  -0.272819E+00   0.720370E-03  -0.272819E+00   0.150850E+00  -0.897911E-06   0.720370E-03  -0.897911E-06   0.131744E-06
    55   0.152273E+04  -0.511901E+00   0.707088E-03  -0.511901E+00   0.159742E+00  -0.960504E-06   0.707088E-03  -0.960504E-06   0.131167E-06
    56   0.154378E+04  -0.763969E+00   0.694340E-03  -0.763969E+00   0.168932E+00  -0.937286E-06   0.694340E-03  -0.937286E-06   0.130578E-06
    57   0.156514E+04  -0.102990E+01   0.682084E-03  -0.102990E+01   0.178415E+00  -0.846635E-06   0.682084E-03  -0.846635E-06   0.129979E-06
    58   0.158679E+04  -0.130991E+01   0.670262E-03  -0.130991E+01   0.188190E+00  -0.717495E-06   0.670262E-03  -0.717495E-06   0.129369E-06
    59   0.160863E+04  -0.160389E+01   0.658818E-03  -0.160389E+01   0.198257E+00  -0.578809E-06   0.658818E-03  -0.578809E-06   0.128750E-06
    60   0.163063E+04  -0.191137E+01   0.647695E-03  -0.191137E+01   0.208608E+00  -0.459520E-06   0.647695E-03  -0.459520E-06   0.128122E-06
    61   0.165282E+04  -0.223185E+01   0.636843E-03  -0.223185E+01   0.219235E+00  -0.383326E-06   0.636843E-03  -0.383326E-06   0.127485E-06
    62   0.167519E+04  -0.256536E+01   0.626231E-03  -0.256536E+01   0.230136E+00  -0.352949E-06   0.626231E-03  -0.352949E-06   0.126841E-06
    63   0.169776E+04  -0.291201E+01   0.615835E-03  -0.291201E+01   0.241308E+00  -0.365864E-06   0.615835E-03  -0.365864E-06   0.126191E-06
    64   0.172053E+04  -0.327196E+01   0.605631E-03  -0.327196E+01   0.252749E+00  -0.419546E-06   0.605631E-03  -0.419546E-06   0.125534E-06
    65   0.174354E+04  -0.364538E+01   0.595595E-03  -0.364538E+01   0.264458E+00  -0.511474E-06   0.595595E-03  -0.511474E-06   0.124874E-06
    66   0.176682E+04  -0.403249E+01   0.585712E-03  -0.403249E+01   0.276428E+00  -0.636335E-06   0.585712E-03  -0.636335E-06   0.124210E-06
    67   0.179035E+04  -0.443275E+01   0.576018E-03  -0.443275E+01   0.288652E+00  -0.777676E-06   0.576018E-03  -0.777676E-06   0.123542E-06
    68   0.181410E+04  -0.484546E+01   0.566554E-03  -0.484546E+01   0.301122E+00  -0.916256E-06   0.566554E-03  -0.916256E-06   0.122873E-06
    69   0.183801E+04  -0.526991E+01   0.557367E-03  -0.526991E+01   0.313828E+00  -0.103283E-05   0.557367E-03  -0.103283E-05   0.122201E-06
    70   0.186206E+04  -0.570560E+01   0.548499E-03  -0.570560E+01   0.326765E+00  -0.110817E-05   0.548499E-03  -0.110817E-05   0.121527E-06
    71   0.188622E+04  -0.615236E+01   0.539982E-03  -0.615236E+01   0.339928E+00  -0.112842E-05   0.539982E-03  -0.112842E-05   0.120852E-06
    72   0.191062E+04  -0.661110E+01   0.531796E-03  -0.661110E+01   0.353314E+00  -0.110135E-05   0.531796E-03  -0.110135E-05   0.120176E-06
    73   0.193536E+04  -0.708277E+01   0.523906E-03  -0.708277E+01   0.366916E+00  -0.104012E-05   0.523906E-03  -0.104012E-05   0.119499E-06
    74   0.196045E+04  -0.756728E+01   0.516280E-03  -0.756728E+01   0.380725E+00  -0.957884E-06   0.516280E-03  -0.957884E-06   0.118820E-06
    75   0.198590E+04  -0.806418E+01   0.508883E-03  -0.806418E+01   0.394728E+00  -0.867801E-06   0.508883E-03  -0.867801E-06   0.118140E-06
    76   0.201166E+04  -0.857295E+01   0.501683E-03  -0.857295E+01   0.408911E+00  -0.781736E-06   0.501683E-03  -0.781736E-06   0.117460E-06
    77   0.203760E+04  -0.909213E+01   0.494655E-03  -0.909213E+01   0.423263E+00  -0.706366E-06   0.494655E-03  -0.706366E-06   0.116778E-06
    78   0.206372E+04  -0.962126E+01   0.487775E-03  -0.962126E+01   0.437772E+00  -0.647074E-06   0.487775E-03  -0.647074E-06   0.116096E-06
    79   0.209004E+04  -0.101602E+02   0.481020E-03  -0.101602E+02   0.452427E+00  -0.609241E-06   0.481020E-03  -0.609241E-06   0.115415E-06
    80   0.211660E+04  -0.107089E+02   0.474364E-03  -0.107089E+02   0.467216E+00  -0.598247E-06   0.474364E-03  -0.598247E-06   0.114733E-06
