#    L    TT             EE             TE             PP             TP          
    75   0.198590E+04   0.394728E+00  -0.806418E+01   0.536990E+07   0.854309E+04
    76   0.201166E+04   0.408911E+00  -0.857295E+01   0.534080E+07   0.842441E+04
    77   0.203760E+04   0.423262E+00  -0.909213E+01   0.531161E+07   0.830850E+04
    78   0.206372E+04   0.437772E+00  -0.962126E+01   0.528233E+07   0.819497E+04
    79   0.209004E+04   0.452427E+00  -0.101602E+02   0.525300E+07   0.808341E+04
    80   0.211660E+04   0.467216E+00  -0.107089E+02   0.522363E+07   0.797344E+04
    81   0.214342E+04   0.482128E+00  -0.112671E+02   0.519423E+07   0.786476E+04
    82   0.217050E+04   0.497154E+00  -0.118345E+02   0.516484E+07   0.775749E+04
    83   0.219784E+04   0.512281E+00  -0.124107E+02   0.513546E+07   0.765187E+04
    84   0.222541E+04   0.527500E+00  -0.129953E+02   0.510610E+07   0.754812E+04
    85   0.225323E+04   0.542797E+00  -0.135880E+02   0.507678E+07   0.744647E+04
    86   0.228128E+04   0.558165E+00  -0.141881E+02   0.504752E+07   0.734710E+04
    87   0.230954E+04   0.573590E+00  -0.147954E+02   0.501832E+07   0.725003E+04
    88   0.233798E+04   0.589059E+00  -0.154091E+02   0.498918E+07   0.715523E+04
    89   0.236662E+04   0.604558E+00  -0.160290E+02   0.496013E+07   0.706267E+04
    90   0.239545E+04   0.620072E+00  -0.166546E+02   0.493116E+07   0.697232E+04
    91   0.242449E+04   0.635585E+00  -0.172856E+02   0.490229E+07   0.688415E+04
    92   0.245373E+04   0.651085E+00  -0.179216E+02   0.487351E+07   0.679809E+04
    93   0.248320E+04   0.666555E+00  -0.185621E+02   0.484484E+07   0.671407E+04
    94   0.251288E+04   0.681984E+00  -0.192070E+02   0.481627E+07   0.663202E+04
    95   0.254279E+04   0.697356E+00  -0.198558E+02   0.478780E+07   0.655187E+04
    96   0.257293E+04   0.712657E+00  -0.205079E+02   0.475945E+07   0.647354E+04
    97   0.260329E+04   0.727873E+00  -0.211630E+02   0.473122E+07   0.639697E+04
    98   0.263388E+04   0.742988E+00  -0.218206E+02   0.470310E+07   0.632208E+04
    99   0.266468E+04   0.757989E+00  -0.224802E+02   0.467510E+07   0.624880E+04
   100   0.269571E+04   0.772863E+00  -0.231413E+02   0.464724E+07   0.617706E+04
   101   0.272695E+04   0.787596E+00  -0.238034E+02   0.461950E+07   0.610678E+04
   102   0.275841E+04   0.802167E+00  -0.244662E+02   0.459189E+07   0.603790E+04
   103   0.279008E+04   0.816574E+00  -0.251289E+02   0.456443E+07   0.597035E+04
   104   0.282195E+04   0.830790E+00  -0.257911E+02   0.453710E+07   0.590405E+04
   105   0.285401E+04   0.844806E+00  -0.264523E+02   0.450992E+07   0.583893E+04
   106   0.288627E+04   0.858607E+00  -0.271117E+02   0.448288E+07   0.577491E+04
   107   0.291870E+04   0.872188E+00  -0.277690E+02   0.445600E+07   0.571194E+04
   108   0.295131E+04   0.885525E+00  -0.284236E+02   0.442928E+07   0.564993E+04
   109   0.298409E+04   0.898612E+00  -0.290747E+02   0.440271E+07   0.558882E+04
   110   0.301703E+04   0.911426E+00  -0.297221E+02   0.437630E+07   0.552853E+04
   111   0.305012E+04   0.923961E+00  -0.303650E+02   0.435006E+07   0.546900E+04
   112   0.308337E+04   0.936208E+00  -0.310029E+02   0.432399E+07   0.541023E+04
   113   0.311676E+04   0.948145E+00  -0.316353E+02   0.429808E+07   0.535221E+04
   114   0.315029E+04   0.959757E+00  -0.322615E+02   0.427235E+07   0.529496E+04
   115   0.318395E+04   0.971044E+00  -0.328810E+02   0.424678E+07   0.523848E+04
   116   0.321774E+04   0.981990E+00  -0.334933E+02   0.422137E+07   0.518276E+04
   117   0.325165E+04   0.992574E+00  -0.340978E+02   0.419614E+07   0.512782E+04
   118   0.328566E+04   0.100280E+01  -0.346939E+02   0.417108E+07   0.507366E+04
   119   0.331978E+04   0.101264E+01  -0.352810E+02   0.414618E+07   0.502028E+04
   120   0.335399E+04   0.102210E+01  -0.358586E+02   0.412146E+07   0.496769E+04
   121   0.338829E+04   0.103115E+01  -0.364261E+02   0.409691E+07   0.491588E+04
   122   0.342267E+04   0.103980E+01  -0.369831E+02   0.407252E+07   0.486487E+04
   123   0.345711E+04   0.104803E+01  -0.375289E+02   0.404831E+07   0.481466E+04
   124   0.349162E+04   0.105584E+01  -0.380629E+02   0.402427E+07   0.476525E+04
   125   0.352617E+04   0.106321E+01  -0.385847E+02   0.400041E+07   0.471664E+04
   126   0.356078E+04   0.107013E+01  -0.390937E+02   0.397671E+07   0.466885E+04
   127   0.359541E+04   0.107661E+01  -0.395894E+02   0.395319E+07   0.462186E+04
   128   0.363007E+04   0.108263E+01  -0.400712E+02   0.392985E+07   0.457569E+04
   129   0.366475E+04   0.108818E+01  -0.405387E+02   0.390667E+07   0.453035E+04
   130   0.369944E+04   0.109326E+01  -0.409912E+02   0.388368E+07   0.448583E+04
   131   0.373412E+04   0.109786E+01  -0.414283E+02   0.386085E+07   0.444213E+04
   132   0.376880E+04   0.110199E+01  -0.418494E+02   0.383820E+07   0.439923E+04
   133   0.380346E+04   0.110562E+01  -0.422542E+02   0.381572E+07   0.435712E+04
   134   0.383810E+04   0.110878E+01  -0.426421E+02   0.379342E+07   0.431575E+04
   135   0.387271E+04   0.111143E+01  -0.430127E+02   0.377129E+07   0.427512E+04
   136   0.390728E+04   0.111360E+01  -0.433654E+02   0.374932E+07   0.423519E+04
   137   0.394180E+04   0.111527E+01  -0.436998E+02   0.372753E+07   0.419593E+04
   138   0.397627E+04   0.111645E+01  -0.440155E+02   0.370590E+07   0.415733E+04
   139   0.401067E+04   0.111713E+01  -0.443121E+02   0.368444E+07   0.411936E+04
   140   0.404500E+04   0.111731E+01  -0.445891E+02   0.366314E+07   0.408198E+04
   141   0.407926E+04   0.111701E+01  -0.448463E+02   0.364201E+07   0.404519E+04
   142   0.411343E+04   0.111621E+01  -0.450829E+02   0.362105E+07   0.400895E+04
