#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.152271E+04   0.159920E+00   0.000000E+00  -0.512746E+00   0.131166E-06   0.707086E-03  -0.961226E-06
    56   0.154375E+04   0.169120E+00   0.000000E+00  -0.764989E+00   0.130577E-06   0.694339E-03  -0.937776E-06
    57   0.156511E+04   0.178614E+00   0.000000E+00  -0.103111E+01   0.129978E-06   0.682083E-03  -0.847023E-06
    58   0.158676E+04   0.188400E+00   0.000000E+00  -0.131130E+01   0.129369E-06   0.670261E-03  -0.717933E-06
    59   0.160859E+04   0.198478E+00   0.000000E+00  -0.160549E+01   0.128750E-06   0.658817E-03  -0.579412E-06
    60   0.163060E+04   0.208840E+00   0.000000E+00  -0.191316E+01   0.128121E-06   0.647694E-03  -0.460318E-06
    61   0.165278E+04   0.219480E+00   0.000000E+00  -0.223386E+01   0.127485E-06   0.636842E-03  -0.384246E-06
    62   0.167515E+04   0.230393E+00   0.000000E+00  -0.256758E+01   0.126841E-06   0.626230E-03  -0.353912E-06
    63   0.169772E+04   0.241577E+00   0.000000E+00  -0.291447E+01   0.126190E-06   0.615835E-03  -0.366817E-06
    64   0.172049E+04   0.253031E+00   0.000000E+00  -0.327464E+01   0.125534E-06   0.605631E-03  -0.420474E-06
    65   0.174350E+04   0.264753E+00   0.000000E+00  -0.364830E+01   0.124873E-06   0.595594E-03  -0.512399E-06
    66   0.176677E+04   0.276736E+00   0.000000E+00  -0.403565E+01   0.124209E-06   0.585712E-03  -0.637309E-06
    67   0.179030E+04   0.288974E+00   0.000000E+00  -0.443617E+01   0.123542E-06   0.576018E-03  -0.778708E-06
    68   0.181404E+04   0.301456E+00   0.000000E+00  -0.484913E+01   0.122872E-06   0.566555E-03  -0.917316E-06
    69   0.183795E+04   0.314176E+00   0.000000E+00  -0.527384E+01   0.122200E-06   0.557367E-03  -0.103388E-05
    70   0.186200E+04   0.327127E+00   0.000000E+00  -0.570981E+01   0.121526E-06   0.548500E-03  -0.110918E-05
    71   0.188617E+04   0.340305E+00   0.000000E+00  -0.615684E+01   0.120851E-06   0.539983E-03  -0.112939E-05
    72   0.191056E+04   0.353704E+00   0.000000E+00  -0.661585E+01   0.120175E-06   0.531797E-03  -0.110230E-05
    73   0.193530E+04   0.367322E+00   0.000000E+00  -0.708780E+01   0.119498E-06   0.523908E-03  -0.104108E-05
    74   0.196038E+04   0.381145E+00   0.000000E+00  -0.757260E+01   0.118819E-06   0.516282E-03  -0.958889E-06
    75   0.198583E+04   0.395163E+00   0.000000E+00  -0.806979E+01   0.118140E-06   0.508884E-03  -0.868853E-06
    76   0.201159E+04   0.409360E+00   0.000000E+00  -0.857885E+01   0.117459E-06   0.501685E-03  -0.782813E-06
    77   0.203753E+04   0.423727E+00   0.000000E+00  -0.909833E+01   0.116777E-06   0.494657E-03  -0.707453E-06
    78   0.206364E+04   0.438251E+00   0.000000E+00  -0.962776E+01   0.116096E-06   0.487777E-03  -0.648168E-06
    79   0.208996E+04   0.452921E+00   0.000000E+00  -0.101670E+02   0.115414E-06   0.481022E-03  -0.610347E-06
    80   0.211652E+04   0.467726E+00   0.000000E+00  -0.107160E+02   0.114733E-06   0.474366E-03  -0.599375E-06
    81   0.214334E+04   0.482654E+00   0.000000E+00  -0.112745E+02   0.114052E-06   0.467793E-03  -0.618461E-06
